FF,stat,n,mle,stderr,mean,low,high,group
v3-k100,RMSE,45,0.6032011553789088,0.1280183842751322,0.5901661597200087,0.3412168123012792,0.8337741537816767,a21
v3-k100,MUE,45,0.3702701722820519,0.0714706488492038,0.3684629983587076,0.2468204896889377,0.5272783899984043,a21
v3-k100,R2,45,0.7604502800886226,0.09800040105976705,0.7618585091318787,0.5618609006605075,0.9314132129191305,a21
v3-k100,rho,45,0.8720380038098238,0.05748326491053673,0.8697844514178362,0.745570680146113,0.9651511517876981,a21
Sage 2.0.0,RMSE,39,0.5755202817415224,0.1655128195823312,0.5561318110636669,0.21034254417087667,0.8751336993945125,a22
Sage 2.0.0,MUE,39,0.2668768458243508,0.08377993438365411,0.2689653878329317,0.12362650662076011,0.45422183654404574,a22
Sage 2.0.0,R2,39,0.49088210245364505,0.17597775024411455,0.5265124100421533,0.22013870179059036,0.9323030639305846,a22
Sage 2.0.0,rho,39,0.7006297898702604,0.12501192811862813,0.7082365142380652,0.4647548153018921,0.9666148498300047,a22
Sage 2.2.1,RMSE,39,0.6069758333736681,0.15991914601665316,0.5875625768241373,0.25846320141801793,0.9011629406081355,a22
Sage 2.2.1,MUE,39,0.33101240378399155,0.0848792483236711,0.33277975399368653,0.19147370961819846,0.5230357526008966,a22
Sage 2.2.1,R2,39,0.4640896025391762,0.1844661239247613,0.5058104001559686,0.2038526504830284,0.9327212883918787,a22
Sage 2.2.1,rho,39,0.6812412219905486,0.13056759669236093,0.6907481414973894,0.43211588216619273,0.9616937813775542,a22
